"","AQIM_CARGO_ID","CARGO_FORM","CALENDAR_YR","CARGO_CATG","ORIGIN","CITY","STATE","QUANTITY","UNIT","INSP_QUANTITY","INSP_UNIT","INSP_METHOD","AG_RISK_FL","INTENDED_USE","COMMODITY_LIST","LOCATION","PORT_CD","ENTRY_NUM","CARGO_COMMODITY_ID","AQIM_COMMODITY","QUANTITY.y","UNIT.y","FND_IN_CARGO","PROHIBITED_FL","TREATMENT_FL","SMUGGLED_FL","PEST_FL","PEST_DATA","CONTAMNT_FL","CONTAMINENT","CREATE_DT","kstar","QUANTITY_INSP_UNITS","HYPER_SAMP_SIZE"
"828","15415AC","Air Cargo",2013,"Perishable","COL","SAN JUAN","PR",29,"Box/Carton",19,"Box/Carton","Hypergeometric Sample","Y","Wholesale/ Retail","Chrysanthemum sp., CF","PR San Juan Air CBP",4913,NA,3453,"Chrysanthemum sp., CF","29","Box/Carton","Associated with cargo","N","N","N","Y"," 199477 (FRANKLINIELLA, SP)","N","","Apr 23, 2013 8:53:55 AM",1,29,19
"829","15434AC","Air Cargo",2013,"Perishable","GTM","DALLAS","TX",46,"Box/Carton",22,"Box/Carton","Hypergeometric Sample","N","","Rosa sp., CF","TX Dallas/Ft. Worth CBP",5501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,46,22
"830","15437AC","Air Cargo",2013,"Perishable","THA","OAKLAND","CA",34,"Box/Carton",20,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","CA San Francisco CBP",2801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,34,20
"831","15438AC","Air Cargo",2013,"Perishable","THA","CHICAGO","IL",20,"Box/Carton",16,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,20,16
"832","15441AC","Air Cargo",2013,"Perishable","NLD","CARLISLE","PA",140,"Box/Carton",26,"Box/Carton","Hypergeometric Sample","N","","Narcissus sp., CF","VA Dulles CBP IAB",5401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,140,26
"833","15443AC","Air Cargo",2013,"Perishable","NLD","LOMBARD","IL",64,"Box/Carton",23,"Box/Carton","Hypergeometric Sample","N","","Hyacinthus sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,64,23
"834","15444AC","Air Cargo",2013,"Perishable","NLD","LOMBARD","IL",1216,"Box/Carton",29,"Box/Carton","Hypergeometric Sample","N","","Tulipa sp., CF","IL Chicago CBP",3901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1216,29
"835","15449AC","Air Cargo",2013,"Perishable","THA","HONOLULU","HI",10,"Box/Carton",10,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10,10
"836","15450AC","Air Cargo",2013,"Perishable","THA","HONOLULU","HI",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
"837","15451AC","Air Cargo",2013,"Perishable","THA","HONOLULU","HI",9,"Box/Carton",9,"Box/Carton","Hypergeometric Sample","N","","Dendrobium Sp., CF","HI Honolulu CBP",3205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,9
