LOCATION,PATHWAY,ORIGIN,CALENDAR_YR,QUANTITY,QUANTITY_UNIT,ITEMS_PER_PACKAGE,COMMODITY
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,13305,Items,740,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,13400,Items,745,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,13629,Items,758,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,13800,Items,552,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,13825,Items,769,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Spain,2023,14000,Items,560,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,14110,Items,784,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,14178,Items,788,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,14225,Items,791,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,14500,Items,580,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Italy,2023,14570,Items,583,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,14650,Items,814,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,14658,Items,815,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,15225,Items,846,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,15560,Items,865,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,15635,Items,869,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Taiwan,2023,15676,Items,603,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Ireland,2023,15700,Items,714,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,16170,Items,899,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,South Africa,2023,16500,Items,917,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,16840,Items,936,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,17400,Items,696,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,17504,Items,973,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Taiwan,2023,17888,Items,688,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,18494,Items,841,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,18540,Items,843,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,18620,Items,1035,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,18900,Items,995,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Viet Nam,2023,19140,Items,798,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,19700,Items,758,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,19700,Items,758,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Portugal,2023,19800,Items,762,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Germany,2023,19992,Items,1053,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Guatemala,2023,20000,Items,715,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Netherlands,2023,20000,Items,715,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,20100,Items,745,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Taiwan,2023,20525,Items,1081,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,20900,Items,1100,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Turkey,2023,20900,Items,775,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Taiwan,2023,21154,Items,1114,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Taiwan,2023,21163,Items,1114,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Singapore,2023,21695,Items,904,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,21935,Items,1097,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Malaysia,2023,22300,Items,892,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,22600,Items,780,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Mexico,2023,22600,Items,780,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,22800,Items,1140,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,22865,Items,1144,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Thailand,2023,23000,Items,885,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,23416,Items,781,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,India,2023,24100,Items,804,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Singapore,2023,25240,Items,971,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Indonesia,2023,25560,Items,1218,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Kenya,2023,26000,Items,897,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,China,2023,26420,Items,1017,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Poland,2023,26900,Items,1281,none
Atlanta PIS,Airport - Aircraft - Cargo - PIS,Uganda,2023,27000,Items,932,none
